what,kind,bundleId,bundleVersion,description,time
error,log,,,"Internal Error",1396004447382
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1396004462154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396004463677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396004463801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396004470378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396004472111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396004475524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396004519937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1396004532216
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396004552663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396004561225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396004567381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396004569449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396004571056
error,log,,,"Internal Error",1396004575851
error,log,,,"Internal Error",1396004613307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396004621502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396004647950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396004655835
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1396004661293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396004669599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396004669756
error,log,,,"Internal Error",1396004704472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396004761880
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1396004765852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396004767580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396004767737
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1396004776097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396004779086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396004792511
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396004792617
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396004792713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1396004798745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396004805225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.openEditorDropDown",1396004805236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396004807170
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396004807231
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396004810305
